Month,Positivity
2021-05-02,8.5
2021-05-09,12.3
2021-05-16,13.8
2021-05-23,11.6
2021-05-30,17.7
2021-06-06,17.7
2021-06-13,17.4
2021-06-20,19.5
2021-06-27,20.1
2021-07-04,21.4
2021-07-11,18
2021-07-18,21.5
2021-07-25,17.3
2021-08-01,20.3
2021-08-08,19
2021-08-15,20.8
2021-08-22,24.7
2021-08-29,26.3
2021-09-05,25.9
2021-09-12,25.2
2021-09-19,21.2
2021-09-26,18.4
2021-10-03,15.3
2021-10-10,10.8
2021-10-17,9.8
2021-10-24,7.3
2021-10-31,5.1
2021-11-07,4.1
2021-11-14,3.1
2021-11-21,2.5
2021-11-28,2.5
2021-12-05,1.3
2021-12-12,1.3
2021-12-19,0.7
2021-12-26,1
2022-01-02,8.9
2022-01-09,24.2
2022-01-16,46.4
2022-01-23,43.8
2022-01-30,34.7
2022-02-06,24.2
2022-02-13,19.7
2022-02-20,14.5
2022-02-27,9.2
2022-03-06,6
2022-03-13,6.6
2022-03-20,4.5
2022-03-27,4.3
2022-04-03,4.1
2022-04-10,2.4
2022-04-17,1.5
2022-04-24,0.6
2022-05-01,1.2
2022-05-08,1
2022-05-15,0.5
2022-05-22,0.5
2022-05-29,1.1
2022-06-05,1.1
2022-06-12,4
2022-06-19,6.4
2022-06-26,8.9
2022-07-03,12.6
2022-07-10,16.5
2022-07-17,16.3
2022-07-24,18
2022-07-31,17.6